funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 710/2000 | Strata MSE: 0.005377
Epoka 720/2000 | Strata MSE: 0.005387
Epoka 730/2000 | Strata MSE: 0.005362
Epoka 740/2000 | Strata MSE: 0.005370
Epoka 750/2000 | Strata MSE: 0.005367
Epoka 760/2000 | Strata MSE: 0.005341
Epoka 770/2000 | Strata MSE: 0.005380
Epoka 780/2000 | Strata MSE: 0.005348
Epoka 790/2000 | Strata MSE: 0.005339
Epoka 800/2000 | Strata MSE: 0.005316
Epoka 810/2000 | Strata MSE: 0.005322
Epoka 820/2000 | Strata MSE: 0.005313
Epoka 830/2000 | Strata MSE: 0.005316
Epoka 840/2000 | Strata MSE: 0.005326
Epoka 850/2000 | Strata MSE: 0.005305
Epoka 860/2000 | Strata MSE: 0.005304
Epoka 870/2000 | Strata MSE: 0.005307
Epoka 880/2000 | Strata MSE: 0.005299
Epoka 890/2000 | Strata MSE: 0.005303
Epoka 900/2000 | Strata MSE: 0.005301
Epoka 910/2000 | Strata MSE: 0.005307
Epoka 920/2000 | Strata MSE: 0.005290
Epoka 930/2000 | Strata MSE: 0.005275
Epoka 940/2000 | Strata MSE: 0.005280
Epoka 950/2000 | Strata MSE: 0.005271
Epoka 960/2000 | Strata MSE: 0.005275
Epoka 970/2000 | Strata MSE: 0.005280
Epoka 980/2000 | Strata MSE: 0.005267
Epoka 990/2000 | Strata MSE: 0.005267
Epoka 1000/2000 | Strata MSE: 0.005277
Epoka 1010/2000 | Strata MSE: 0.005269
Epoka 1020/2000 | Strata MSE: 0.005261
Epoka 1030/2000 | Strata MSE: 0.005268
Epoka 1040/2000 | Strata MSE: 0.005251
Epoka 1050/2000 | Strata MSE: 0.005248
Epoka 1060/2000 | Strata MSE: 0.005252
Epoka 1070/2000 | Strata MSE: 0.005248
Epoka 1080/2000 | Strata MSE: 0.005255
Epoka 1090/2000 | Strata MSE: 0.005247
Epoka 1100/2000 | Strata MSE: 0.005246
Epoka 1110/2000 | Strata MSE: 0.005242
Epoka 1120/2000 | Strata MSE: 0.005254
Epoka 1130/2000 | Strata MSE: 0.005250
Epoka 1140/2000 | Strata MSE: 0.005238
Epoka 1150/2000 | Strata MSE: 0.005241
Epoka 1160/2000 | Strata MSE: 0.005234
Epoka 1170/2000 | Strata MSE: 0.005232
Epoka 1180/2000 | Strata MSE: 0.005235
Epoka 1190/2000 | Strata MSE: 0.005229
Epoka 1200/2000 | Strata MSE: 0.005233
Epoka 1210/2000 | Strata MSE: 0.005231
Epoka 1220/2000 | Strata MSE: 0.005229
Epoka 1230/2000 | Strata MSE: 0.005229
Epoka 1240/2000 | Strata MSE: 0.005224
Epoka 1250/2000 | Strata MSE: 0.005222
Epoka 1260/2000 | Strata MSE: 0.005222
Epoka 1270/2000 | Strata MSE: 0.005228
Epoka 1280/2000 | Strata MSE: 0.005222
Epoka 1290/2000 | Strata MSE: 0.005220
Epoka 1300/2000 | Strata MSE: 0.005223
Epoka 1310/2000 | Strata MSE: 0.005220
Epoka 1320/2000 | Strata MSE: 0.005220
Epoka 1330/2000 | Strata MSE: 0.005217
Epoka 1340/2000 | Strata MSE: 0.005220
Epoka 1350/2000 | Strata MSE: 0.005216
Epoka 1360/2000 | Strata MSE: 0.005216
Epoka 1370/2000 | Strata MSE: 0.005213
Epoka 1380/2000 | Strata MSE: 0.005216
Epoka 1390/2000 | Strata MSE: 0.005210
Epoka 1400/2000 | Strata MSE: 0.005209
Epoka 1410/2000 | Strata MSE: 0.005209
Epoka 1420/2000 | Strata MSE: 0.005210
Epoka 1430/2000 | Strata MSE: 0.005213
Epoka 1440/2000 | Strata MSE: 0.005208
Epoka 1450/2000 | Strata MSE: 0.005207
Epoka 1460/2000 | Strata MSE: 0.005209
Epoka 1470/2000 | Strata MSE: 0.005208
Epoka 1480/2000 | Strata MSE: 0.005206
Epoka 1490/2000 | Strata MSE: 0.005206
Epoka 1500/2000 | Strata MSE: 0.005206
Epoka 1510/2000 | Strata MSE: 0.005206
Epoka 1520/2000 | Strata MSE: 0.005204
Epoka 1530/2000 | Strata MSE: 0.005203
Epoka 1540/2000 | Strata MSE: 0.005204
Epoka 1550/2000 | Strata MSE: 0.005201
Epoka 1560/2000 | Strata MSE: 0.005201

[!] EARLY STOPPING: Przerwano trening w epoce 1563!
Brak poprawy o minimum 1e-06 od 50 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.005201

MSO 1 (3-stanowe) gotowe i zapisane!

